model_type,use_undersampling,k_factor,data_source,n_samples,test_size,rmse,bias,r2_score,runtime,qini_coefficient
s_learner,False,2.0,synthetic,800,0.3,1.1164972255978658,-1.023472175480785,-4.261019879547524,0.10958099365234375,0.4449684127215939
s_learner,True,3.0,synthetic,800,0.3,1.1491721883982349,-1.0302370917221093,-4.573459635599633,0.06924772262573242,0.4449684127215939
t_learner,False,2.0,synthetic,800,0.3,1.1353067289571872,-1.0124640648567842,-4.439776671742655,0.180206298828125,0.4449684127215939
t_learner,True,3.0,synthetic,800,0.3,1.1479439270329508,-1.0238011942415948,-4.561551921839813,0.10000061988830566,0.4449684127215939
